Name,Session,Time
ACT2111,L01-LEC(1056),TuTh 08:30 - 09:50
ACT2111,L02-LEC(1057),MoWe 10:30 - 11:50
ACT2111,L03-LEC(1058),MoWe 15:30 - 16:50
ACT2111,L04-LEC(1059),MoWe 08:30 - 09:50
ACT2111,L05-LEC(1060),MoWe 13:30 - 14:50
ACT2111,L06-LEC(1061),TuTh 10:30 - 11:50
ACT2111,L07-LEC(1062),TuTh 10:30 - 11:50
ACT2111,L08-LEC(1063),TuTh 13:30 - 14:50
ACT2111,L09-LEC(1064),TuTh 15:30 - 16:50
ACT2111,T01-TUT(1065),Fr 18:00 - 18:50
ACT2111,T02-TUT(1066),Fr 19:00 - 19:50
ACT2111,T03-TUT(1067),Th 20:00 - 20:50
ACT2111,T04-TUT(1068),Fr 18:00 - 18:50
ACT2111,T05-TUT(1069),Fr 19:00 - 19:50
ACT2111,T06-TUT(1070),Fr 20:00 - 20:50
ACT2111,T07-TUT(1071),Mo 18:00 - 18:50
ACT2111,T08-TUT(1072),Mo 19:00 - 19:50
ACT2111,T09-TUT(1073),Mo 20:00 - 20:50
ACT2111,T10-TUT(1074),Tu 18:00 - 18:50
ACT2111,T11-TUT(1075),Tu 19:00 - 19:50
ACT2111,T12-TUT(1076),Tu 20:00 - 20:50
ACT2111,T13-TUT(1077),We 18:00 - 18:50
ACT2111,T14-TUT(1078),We 19:00 - 19:50
ACT2111,T15-TUT(1079),We 20:00 - 20:50
ACT2111,T16-TUT(1080),Fr 18:00 - 18:50
ACT2111,T17-TUT(1081),Fr 19:00 - 19:50
ACT2111,T18-TUT(1082),Fr 20:00 - 20:50
ACT2121,L01-LEC(1546),TuTh 08:30 - 09:50
ACT2121,L02-LEC(1547),TuTh 10:30 - 11:50
ACT2121,L03-LEC(1548),TuTh 15:30 - 16:50
ACT2121,L04-LEC(1549),MoWe 13:30 - 14:50
ACT2121,T01-TUT(1550),Tu 18:00 - 18:50
ACT2121,T02-TUT(1551),Tu 19:00 - 19:50
ACT2121,T03-TUT(1552),Tu 20:00 - 20:50
ACT2121,T04-TUT(1553),We 18:00 - 18:50
ACT2121,T05-TUT(1554),We 19:00 - 19:50
ACT2121,T06-TUT(1555),We 20:00 - 20:50
ACT2121,T07-TUT(1556),Mo 18:00 - 18:50
ACT2121,T08-TUT(1557),Mo 19:00 - 19:50
ACT3011,L01-LEC(1985),TuTh 13:30 - 14:50
ACT3011,T01-TUT(1986),Th 19:00 - 19:50
ACT3011,T02-TUT(1987),Th 20:00 - 20:50
ACT3141,L01-LEC(1558),MoWe 08:30 - 09:50
ACT3141,L02-LEC(1559),MoWe 15:30 - 16:50
ACT3154,L01-LEC(2016),MoWe 10:30 - 11:50
ACT3154,L02-LEC(2017),MoWe 13:30 - 14:50
ACT3311,error!,
ACT3311,L02-LEC(2000),Mo 10:30 - 12:20&We 10:30 - 11:20
ACT3311,L01-LEC(1999),Mo 08:30 - 10:20&We 09:00 - 09:50
ACT4111,L01-LEC(1560),TuTh 10:30 - 11:50
ACT4111,L02-LEC(1561),TuTh 13:30 - 14:50
ACT4111,T01-TUT(1562),Tu 19:00 - 19:50
ACT4111,T02-TUT(1563),Tu 20:00 - 20:50
ACT4111,T03-TUT(1564),We 19:00 - 19:50
ACT4111,T04-TUT(1565),We 20:00 - 20:50
ACT4131,L01-LEC(1566),TuTh 08:30 - 09:50
ACT4131,L02-LEC(1567),TuTh 10:30 - 11:50
ACT4131,L03-LEC(1568),TuTh 18:30 - 19:50
ACT4252,L01-LEC(1927),MoWe 13:30 - 14:50
ACT4253,L01-LEC(1569),MoWe 08:30 - 09:50
ACT4253,L02-LEC(1570),MoWe 10:30 - 11:50
ACT4253,L03-LEC(1571),MoWe 13:30 - 14:50
ACT4253,L04-LEC(1572),TuTh 15:30 - 16:50
ACT4321,L01-LEC(1988),We 15:00 - 17:50
PSY1020,L01-LEC(2043),Tu 08:30 - 10:20
PSY1020,T01-TUT(2044),Fr 08:30 - 09:20
PSY1020,T02-TUT(2045),Fr 09:30 - 10:20
PSY2020,L01-LEC(2074),MoWe 15:30 - 16:50
PSY2040,L01-LEC(2046),MoWe 08:30 - 09:50
PSY2110,L01-LEC(2112),TuTh 10:30 - 11:50
PSY2120,L01-LEC(2047),MoWe 13:30 - 14:50
PSY2130,error!,
PSY2130,L01-LEC(2113),Th 15:00 - 16:20&Th 08:30 - 09:50
PSY3010,L01-LEC(2075),TuTh 13:30 - 14:50
PSY3110,L01-LEC(2114),TuTh 18:00 - 19:20
PSY3130,L01-LEC(2042),TuTh 18:00 - 19:20
PSY3150,L01-LEC(2079),MoWe 10:30 - 11:50
PSY4010,L01-LEC(2115),MoWe 10:30 - 11:50
PSY4020,L01-LEC(2116),TuTh 15:30 - 16:50
PSY4020,L02-LEC(2117),TuTh 13:30 - 14:50
PSY4130,error!,
PSY4130,L01-LEC(2118),We 09:00 - 10:20&We 13:30 - 14:50
PSY4180,L01-LEC(2078),MoWe 13:30 - 14:50
BIM2005,L01-LEC(1870),TuTh 10:30 - 11:50
BIM2005,T01-TUT(1871),Tu 19:00 - 19:50
BIM3007,L01-LEC(2012),MoWe 08:30 - 09:50
BIM3007,T01-TUT(2013),Mo 18:00 - 18:50
BIM3008,L01-LEC(2001),MoWe 13:30 - 14:50
BIM3008,T01-TUT(2002),Mo 19:00 - 19:50
BIM3010,L01-LEC(2014),TuTh 13:30 - 14:50
BIM3010,T01-TUT(2015),Tu 18:00 - 18:50
BIM3014,L01-LEC(2346),TuTh 08:30 - 09:50
BIM3014,T01-TUT(2347),Tu 19:00 - 19:50
BIM3020,L01-LEC(2485),MoWe 15:30 - 16:50
BIM3020,T01-TUT(2486),Tu 20:00 - 20:50
BIO1008,L01-LEC(2128),MoWe 08:30 - 09:50
BIO1008,L02-LEC(2129),MoWe 15:30 - 16:50
BIO2001,L01-LEC(2287),We 10:30 - 11:20
BIO2002,L01-LEC(2027),TuTh 13:30 - 14:50
BIO2002,T01-TUT(2028),We 18:00 - 18:50
BIO2002,T02-TUT(2029),We 18:00 - 18:50
BIO2002,T03-TUT(2030),We 18:00 - 18:50
BIO2101,LAB1-LAB(1883),Mo 15:00 - 17:50
BIO2101,LAB2-LAB(1884),We 15:00 - 17:50
BIO2101,T01-TUT(1885),Fr 09:30 - 10:20
BIO3001,L01-LEC(1868),TuTh 10:30 - 11:50
BIO3001,T01-TUT(1869),We 19:00 - 19:50
BIO3002,L01-LEC(2348),TuTh 08:30 - 09:50
BIO3002,T01-TUT(2349),We 18:00 - 18:50
BIO3003,L01-LEC(2350),MoWe 15:30 - 16:50
BIO3003,T01-TUT(2351),Tu 20:00 - 20:50
BIO3101,LAB1-LAB(2003),Th 15:00 - 17:50
BIO3101,LAB2-LAB(2004),Fr 09:00 - 11:50
BIO3214,L01-LEC(2080),TuTh 13:30 - 14:50
BIO3214,T01-TUT(2081),Mo 20:00 - 20:50
BIO3901,L01-LEC(2496),TBA
BIO3902,L01-LEC(2500),TBA
BIO3903,L01-LEC(2492),TBA
BIO3904,L01-LEC(2493),TBA
BIO4203,L01-LEC(2025),MoWe 13:30 - 14:50
BIO4203,T01-TUT(2026),We 20:00 - 20:50
BIO4901,L01-LEC(2352),Fr 10:30 - 11:50
BME3001,L01-LEC(2069),Mo 15:30 - 17:20
BME3001,T01-TUT(2070),Tu 18:00 - 18:50
BME3201,L01-LEC(2438),MoWe 10:30 - 11:50
BME3201,T01-TUT(2439),Fr 10:30 - 11:20
BME3320,L01-LEC(2031),MoWe 08:30 - 09:50
BME3320,T01-TUT(2032),Mo 18:00 - 18:50
BME4006,L01-LEC(2130),TuTh 15:30 - 16:50
BME4006,T01-TUT(2131),We 19:00 - 19:50
BME4008,L01-LEC(2275),TuTh 08:30 - 09:50
BME4008,T01-TUT(2276),We 20:00 - 20:50
BME4011,L01-LEC(2277),TuTh 10:30 - 11:50
BME4011,T01-TUT(2278),Th 18:00 - 18:50
BME4012,L01-LEC(2274),TBA
BME4013,L01-LEC(2323),TBA
CHM1001,L01-LEC(1354),MoWe 10:30 - 11:50
CHM1001,L02-LEC(1355),MoWe 15:30 - 16:50
CHM1001,L03-LEC(1356),TuTh 10:30 - 11:50
CHM1001,L04-LEC(1357),TuTh 15:30 - 16:50
CHM1001,L05-LEC(1358),TuTh 13:30 - 14:50
CHM1001,T01-TUT(1359),Mo 18:00 - 18:50
CHM1001,T02-TUT(1360),Mo 19:00 - 19:50
CHM1001,T03-TUT(1361),Mo 20:00 - 20:50
CHM1001,T04-TUT(1362),Tu 18:00 - 18:50
CHM1001,T05-TUT(1363),Tu 19:00 - 19:50
CHM1001,T06-TUT(1364),Tu 20:00 - 20:50
CHM1001,T07-TUT(1365),We 18:00 - 18:50
CHM1001,T08-TUT(1366),We 19:00 - 19:50
CHM1001,T09-TUT(1367),We 20:00 - 20:50
CHM1001,T10-TUT(1368),Th 18:00 - 18:50
CHM1001,T11-TUT(1369),Th 19:00 - 19:50
